origin,community_url,ends_at,gallery_url,has_finished,has_started,hashtags,hostname,id,location,location_lat,location_lon,logo_url,name,starts_at,summary,webpage_url
hack.opendata.ch,,"Thu, 29 Apr 2021 18:00:00 GMT",,True,False,,"HSLU, Hotelleriesuisse, Tourist Office Lab & Opendata.ch",40,Online,0.0,0.0,https://opendata.ch/wordpress/files/2021/02/TourismHackdays-Logo_HcK-OD_front.jpg,Tourism Hackdays 28./29. April 2021,"Wed, 28 Apr 2021 09:00:00 GMT","For the third time, the HSLU - Open Data Hackdays are dedicated to the topic of tourism in Switzerland. ",https://innovationfestival.ch/en/
hack.opendata.ch,https://forum.opendata.ch/t/27-28-11-shape-my-city/696,"Sat, 28 Nov 2020 18:00:00 GMT",,True,False,,HSLU & Opendata.ch,35,Laboratorium in Luzern,0.0,0.0,https://bucketeer-036aa605-c047-4623-8610-f1764b90cf98.s3.amazonaws.com/public/L7KGJ1NROQP4M3UNH5183L99.png,Shape My City,"Fri, 27 Nov 2020 09:00:00 GMT","Solve tough city challenges like reducing traffic congestion and traffic, improving the utilization of pedestrian paths and bicycle lanes. ",https://opendata.ch/projects/hslu_shape-my-city-2020/
hack.opendata.ch,https://twitter.com/opendatach,"Sat, 14 Nov 2020 14:00:00 GMT",,True,False,,,32,Virtual,0.0,0.0,https://bucketeer-036aa605-c047-4623-8610-f1764b90cf98.s3.amazonaws.com/public/Z52X5DCAFHHLU1N312HSJN9V.jpg,Smart City Lab - Lenzburg,"Fri, 13 Nov 2020 10:00:00 GMT",Nimm am Smart City Lab teil und entwickle in interdisziplinären Teams neue digitale Lösungen für die Stadt Lenzburg!,https://opendata.ch/projects/smart-city-lab-lenzburg-2020/
hack.opendata.ch,https://bit.ly/slack_farming,"Sat, 05 Sep 2020 13:00:00 GMT",,True,False,,Opendata.ch,34,Landwirtschaftszentrum Liebegg,0.0,0.0,https://forum.opendata.ch/uploads/default/original/1X/b0c084524b6c5b5515b99db77f79a7c78dfcf416.jpeg,Open Farming Hackdays 2020,"Fri, 04 Sep 2020 08:00:00 GMT",Nimm an den ersten Open Farming Hackdays teil und entwickle neue digitale Lösungen für die Landwirtschaft innerhalb von 32 Stunden!,https://opendata.ch/projects/open-farming-hackdays-2020/
hack.opendata.ch,https://twitter.com/hashtag/energyhack2020,"Sat, 29 Aug 2020 13:00:00 GMT",,True,False,,,31,Hightech Zentrum in Brugg,0.0,0.0,https://energy.opendata.ch/files/2014/01/oed.png,Energy Hackdays 2020,"Fri, 28 Aug 2020 07:00:00 GMT",The Open Energy Data Hackdays 2020 took place on the 28th and 29th of August in the Hightech Zentrum in Brugg.,https://opendata.ch/projects/energy-data-hackdays-2020/
hack.opendata.ch,https://twitter.com/search?q=%23opendatahackdays,"Sat, 30 Nov 2019 13:00:00 GMT",,True,False,,HSLU,29,Lucerne,0.0,0.0,https://opendata.ch/wordpress/files/2019/07/hslu_hackathon_logo_final-2-300x144.png,Open Data Hackdays: Tourism,"Fri, 29 Nov 2019 08:00:00 GMT",A yearly event series presented by students from the Lucerne University of Applied Science,https://opendata.ch/projects/open-data-hackdays/
hack.opendata.ch,https://forum.opendata.ch/t/6-8-9-mixnhack/571/1,"Sun, 08 Sep 2019 17:00:00 GMT",,True,False,,Les Arsenaux,30,Sion,0.0,0.0,https://glam.opendata.ch/files/2014/05/glam2-200.png,#mixnhack 2019,"Fri, 06 Sep 2019 09:00:00 GMT",Opendata.ch is collaborating with Museomix.ch to combine the make-a-thon approach with our traditional open data hackathon.,https://make.opendata.ch/wiki/event:2019-09
hack.opendata.ch,https://twitter.com/hashtag/agricathon,"Fri, 17 May 2019 21:59:00 GMT",,True,False,,HES-SO Valais-Wallis,27,"Sierre, Valais, Switzerland",0.0,0.0,https://upload.wikimedia.org/wikipedia/commons/b/bf/HES-SO_Valais-Wallis.png,Agricathon 2019,"Fri, 17 May 2019 07:00:00 GMT","Un marathon de l’innovation d’une journée qui rassemblera agriculteurs, informaticiens, designers et autres curieux.",https://www.hevs.ch/agricathon
hack.opendata.ch,https://twitter.com/opendatach,"Sat, 16 Feb 2019 14:00:00 GMT",,True,False,,,24,Hightech Zentrum Aargau,0.0,0.0,https://energy.opendata.ch/files/2014/01/oed.png,Energy Data Hackdays 2019,"Fri, 15 Feb 2019 09:00:00 GMT","Dank offenen Energie-Daten haben wir unser gemeinsames Energie-Verständnis verbessert, und an 13 Projekten gearbeitet.",https://opendata.ch/projects/energy-data-hackdays-2019-english/
hack.opendata.ch,https://chat.opendata.ch/,"Sat, 24 Nov 2018 15:00:00 GMT",,True,False,,Forum Helveticum & Opendata.ch,22,Auditorium Careum,0.0,0.0,https://forum-helveticum.ch/wp-content/themes/forum-helveticum/images/logo.svg,Mehrsprachigkeit - Plurilinguisme - Plurilinguismo - Plurilinguitad,"Fri, 23 Nov 2018 13:00:00 GMT",Gestalte die Zukunft der Schweizer Sprachenvielfalt! Façonne le futur de la diversité linguistique en Suisse! ,https://forum-helveticum.ch/de/hackathon/
